"cnpj","nome","cidade","estado","produto","valor","data_cadastro"
"1,138,114,000,165.00","POSTO JK","CRISTALINA","GO","Diesel S500","3.83","19/11/2019 19:56"
"1,138,114,000,165.00","POSTO JK","CRISTALINA","GO","Diesel S10","3.89","19/11/2019 19:56"
"1,182,484,000,108.00","POSTO CHAPARRAL","PIRES DO RIO","GO","Gasolina C Comum","4.72","8/10/2018 17:08"
"1,182,484,000,108.00","POSTO CHAPARRAL","PIRES DO RIO","GO","Etanol","2.99","8/10/2018 17:08"
"1,182,484,000,108.00","POSTO CHAPARRAL","PIRES DO RIO","GO","Diesel S500","3.49","8/10/2018 17:08"
"1,182,484,000,108.00","POSTO CHAPARRAL","PIRES DO RIO","GO","Diesel S10","3.59","8/10/2018 17:08"
"1,240,986,000,130.00","POSTO FERROVIARIO","MARABA","PA","Gasolina C Comum","4.59","7/31/2019 17:44"
"1,240,986,000,130.00","POSTO FERROVIARIO","MARABA","PA","Diesel S500","3.69","7/31/2019 17:44"
"1,240,986,000,130.00","POSTO FERROVIARIO","MARABA","PA","Diesel S10","3.79","7/31/2019 17:44"
"1,308,133,000,273.00","POSTO TRES FAZENDAS","SAO JOSE DOS PINHAIS","PR","Gasolina C Comum","4.39","9/25/2018 9:18"
"1,308,133,000,273.00","POSTO TRES FAZENDAS","SAO JOSE DOS PINHAIS","PR","Diesel S500","3.47","9/25/2018 9:18"
"1,308,133,000,273.00","POSTO TRES FAZENDAS","SAO JOSE DOS PINHAIS","PR","Diesel S10","3.57","9/25/2018 9:18"
"1,332,532,000,199.00","AUTO POSTO MILENIO LTDA","CAMPO GRANDE","MS","Gasolina C Comum","4.099","4/15/2019 19:18"
"1,332,532,000,199.00","AUTO POSTO MILENIO LTDA","CAMPO GRANDE","MS","Etanol","3.299","4/15/2019 19:18"
"1,332,532,000,199.00","AUTO POSTO MILENIO LTDA","CAMPO GRANDE","MS","Diesel S10","3.599","4/15/2019 19:18"
"1,392,476,000,188.00","POSTO MODELO","CATAGUASES","MG","Gasolina C Comum","4.849","4/17/2019 16:21"
"1,392,476,000,188.00","POSTO MODELO","CATAGUASES","MG","Etanol","3.299","4/17/2019 16:21"
"1,392,476,000,188.00","POSTO MODELO","CATAGUASES","MG","Diesel S500","3.699","4/17/2019 16:21"
"1,392,476,000,188.00","POSTO MODELO","CATAGUASES","MG","Diesel S10","3.799","4/17/2019 16:21"
"1,416,988,000,137.00","POSTO 10","TERESINA","PI","Gasolina C Comum","4.399","6/17/2019 11:12"
"1,416,988,000,137.00","POSTO 10","TERESINA","PI","Diesel S500","3.499","6/17/2019 11:12"
"1,416,988,000,137.00","POSTO 10","TERESINA","PI","Diesel S10","3.529","6/17/2019 11:12"
"1,416,988,000,137.00","POSTO 10","TERESINA","PI","Etanol","3.319","6/17/2019 11:12"
"1,443,559,000,159.00","ROGER SOUZA DA SILVA","PINHEIRO MACHADO","RS","Gasolina C Comum","4.799","6/14/2019 18:23"
"1,443,559,000,159.00","ROGER SOUZA DA SILVA","PINHEIRO MACHADO","RS","Diesel S500","3.479","6/14/2019 18:23"
"1,443,559,000,159.00","ROGER SOUZA DA SILVA","PINHEIRO MACHADO","RS","Diesel S10","3.549","6/14/2019 18:23"
"1,574,763,000,109.00","AUTO POSTO MUTUM LTDA","RIBAS DO RIO PARDO","MS","Gasolina C Comum","4.646","7/11/2018 10:01"
"1,574,763,000,109.00","AUTO POSTO MUTUM LTDA","RIBAS DO RIO PARDO","MS","Etanol","3.456","7/11/2018 10:01"
"1,574,763,000,109.00","AUTO POSTO MUTUM LTDA","RIBAS DO RIO PARDO","MS","Diesel S500","3.346","7/11/2018 10:01"
"1,574,763,000,109.00","AUTO POSTO MUTUM LTDA","RIBAS DO RIO PARDO","MS","Diesel S10","3.406","7/11/2018 10:01"
